from_station,to_station,weekday_fare,weekend_fare,total_time,stations
AHRM,SHVP,54,54,0:46:27,16
AHRM,SJSU,64,64,0:45:58,11
AHRM,SKRP,74,74,0:51:19,17
AHRM,SKVR,43,43,0:49:13,13
AHRM,SLAP,43,43,0:58:35,14
AHRM,SLTP,43,43,0:40:48,13
AHRM,SMBG,54,54,1:05:21,20
AHRM,SMPK,54,54,1:13:10,21
AHRM,SMSM,54,54,0:56:52,22
AHRM,SN,54,54,0:48:11,15
AHRM,SNVH,,,,
AHRM,SOEN,21,21,0:08:40,4
AHRM,SOJI,32,32,0:12:58,6
AHRM,SP,43,43,0:48:50,15
AHRM,SPBI,54,54,1:04:04,24
AHRM,SRAI,43,43,0:38:28,15
AHRM,SRSM,43,43,0:57:50,17
AHRM,SSON,43,43,0:37:09,14
AHRM,SSTN,54,54,0:41:15,16
AHRM,STFN,43,43,0:32:31,12
AHRM,STTA,43,43,0:45:26,18
AHRM,STVR,32,32,0:28:13,11
AHRM,SUL,74,74,1:05:51,19
AHRM,SVMB,32,32,0:17:47,8
AHRM,SVVR,54,54,1:03:10,18
AHRM,TG,54,54,0:46:21,14
AHRM,TKBR,64,64,1:14:14,30
AHRM,TKDS,43,43,0:33:30,13
AHRM,TKLM,64,64,1:12:04,29
AHRM,TKPR,32,32,0:52:04,14
AHRM,TN,54,54,0:50:06,16
AHRM,TZI,43,43,0:51:33,14
AHRM,UDB,32,32,0:27:48,8
AHRM,UNE,54,54,0:56:29,19
AHRM,UNRG,54,54,0:55:21,21
AHRM,UNW,54,54,0:58:27,20
AHRM,VASI,43,43,0:39:57,12
AHRM,VENT,32,32,0:49:52,13
AHRM,VNNR,32,32,0:47:32,12
AHRM,VNPR,11,11,0:02:59,2
AHRM,VS,43,43,0:43:58,15
AHRM,VTVR,43,43,0:46:26,12
AHRM,VW,43,43,0:46:10,16
AHRM,WC,43,43,0:51:36,13
AHRM,YB,32,32,0:18:26,5
AHRM,YMVR,,,,
AIIMS,AIT,63,63,0:47:24,16
AIIMS,AJG,43,43,0:23:22,10
AIIMS,APMN,43,43,0:44:43,17
AIIMS,APOT,96,96,0:43:18,13
AIIMS,ASDM,43,43,0:38:26,9
AIIMS,ATHA,54,54,1:01:12,25
AIIMS,AVIT,43,43,0:44:05,16
AIIMS,AZU,43,43,0:36:28,18
AIIMS,BACH,54,54,1:10:38,23
AIIMS,BAPB,43,43,0:51:57,15
AIIMS,BCGN,43,43,0:48:33,14
AIIMS,BEL,63,63,0:41:50,14
AIIMS,BIMR,54,54,0:42:53,21
AIIMS,BJPU,,,,
AIIMS,BKCP,21,21,0:16:02,4
AIIMS,BKMR,54,54,1:04:00,20
AIIMS,BRKR,32,32,0:21:22,9
AIIMS,BURI,,,,
AIIMS,BUSS,64,64,1:19:37,29
AIIMS,BVHM,64,64,1:19:38,26
AIIMS,CDLI,32,32,0:19:40,5
AIIMS,CHK,32,32,0:20:55,11
AIIMS,CHTP,32,32,0:15:25,7
AIIMS,CIPK,64,64,1:22:25,30
AIIMS,CL,43,43,0:25:32,13
AIIMS,CTST,32,32,0:10:23,6
AIIMS,CWBR,32,32,0:18:42,10
AIIMS,DACY,86,86,0:39:46,12
AIIMS,DBMR,43,43,0:44:02,13
AIIMS,DDSC,32,32,0:21:11,6
AIIMS,DKV,75,75,0:34:45,11
AIIMS,DL2,63,63,0:40:19,13
AIIMS,DL3,63,63,0:47:22,17
AIIMS,DLIC,32,32,0:26:06,7
AIIMS,DLIG,32,32,0:23:46,10
AIIMS,DM,54,54,1:07:37,18
AIIMS,DNBT,54,54,1:26:01,22
AIIMS,DSE,117,117,1:00:26,18
AIIMS,DSET,107,107,0:54:23,15
AIIMS,DSFN,54,54,1:12:30,20
AIIMS,DSG,54,54,0:49:04,19
AIIMS,DSHP,43,43,0:39:02,12
AIIMS,DSN,117,117,0:56:21,16
AIIMS,DST,117,117,0:58:26,17
AIIMS,DSTN,128,128,1:04:31,20
AIIMS,DSTO,96,96,0:46:22,14
AIIMS,DSW,128,128,1:02:29,19
AIIMS,DW,54,54,1:10:05,19
